CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Rate_benign_biopsy,Rate_benign_biopsy_warning,Non-op_diag_rate_invasive,Non-op_diag_rate_non-invasive,Rate_non_op_diagnosis,Rate_non_op_diagnosis_warning,Rate_small_invasive,Rate_small_invasive_warning,SDR,SDR_warning
2012-13,E92000001,England,England,National,50<71,A to F2,0.6708119103005272,,:,:,96.70938940092167,,not included,not included,not included,not included
2013-14,E92000001,England,England,National,50<71,A to F2,0.6032415762227927,,:,:,96.99075635922001,,not included,not included,not included,not included
2014-15,E92000001,England,England,National,50<71,A to F2,0.5247013463435501,,:,:,97.32508905168358,,not included,not included,not included,not included
2015-16,E92000001,England,England,National,50<71,A to F2,0.46380950564228896,,:,:,97.5052938062467,,not included,not included,not included,not included
2016-17,E92000001,England,England,National,50<71,A to F2,0.4020098370428199,,:,:,97.84593156892363,,not included,not included,not included,not included
2017-18,E92000001,England,England,National,50<71,A to F2,0.3609647683118736,,:,:,98.00751375285121,,not included,not included,not included,not included
2018-19,E92000001,England,England,National,50<71,A to F2,0.30410987361236486,,:,:,98.24664703958129,,not included,not included,not included,not included
2019-20,E92000001,England,England,National,50<71,A to F2,0.2697072940294433,,:,:,98.8623203215478,,not included,not included,not included,not included
2020-21,E92000001,England,England,National,50<71,A to F2,0.27867957852177955,,:,:,98.70733185215109,,not included,not included,not included,not included
2021-22,E92000001,England,England,National,50<71,A to F2,0.29940860734235314,,:,:,98.47902390105298,,not included,not included,not included,not included
2022-23,E92000001,England,England,National,50<71,A to F2,0.2589741178509481,,:,:,98.74564878165887,,not included,not included,not included,not included
2012-13,E92000001,England,England,National,50<71,A and B,1.6889831025437687,,not included,not included,93.51230425055928,,2.7221984993594828,,1.5171594753774638,
2013-14,E92000001,England,England,National,50<71,A and B,1.5891965945787259,,not included,not included,93.87326898866975,,2.9513651042176337,,1.6216213438410336,
2014-15,E92000001,England,England,National,50<71,A and B,1.506074640891395,,not included,not included,94.47004608294931,,3.104443549469728,,1.609001979352958,
2015-16,E92000001,England,England,National,50<71,A and B,1.2564325335828377,,not included,not included,95.54759467758444,,3.0876161197620795,,1.5131170598557888,
2016-17,E92000001,England,England,National,50<71,A and B,1.066113036037426,,not included,not included,95.89249492900609,,3.1515797644264265,,1.5944937419840033,
2017-18,E92000001,England,England,National,50<71,A and B,0.9314390733683541,,not included,not included,95.97826086956522,,3.084765963413474,,1.588082658409745,
2018-19,E92000001,England,England,National,50<71,A and B,0.8037285161897387,,not included,not included,97.01333333333334,,3.0335850702527334,,1.5289290983790773,
2019-20,E92000001,England,England,National,50<71,A and B,0.6308036252655405,,not included,not included,98.2409381663113,,2.708744979081439,,1.4695876735951763,
2020-21,E92000001,England,England,National,50<71,A and B,0.6230917814194031,,not included,not included,97.72893772893772,,2.8731454365450255,,1.6467110176429642,
2021-22,E92000001,England,England,National,50<71,A and B,0.6585292280762873,,not included,not included,97.7294228949858,,2.7105912742752993,,1.289571811299977,
2022-23,E92000001,England,England,National,50<71,A and B,0.5577574769079954,,not included,not included,97.5598086124402,,2.4465271146191614,,1.2356339004177928,
2012-13,E92000001,England,England,National,50<71,C1 and C2,0.4608135092682975,,not included,not included,97.33024828690931,,3.41044468149717,,1.5426380131591908,
2013-14,E92000001,England,England,National,50<71,C1 and C2,0.41770244667851963,,not included,not included,97.58071243847502,,3.4155312076618563,,1.5737382934559843,
2014-15,E92000001,England,England,National,50<71,C1 and C2,0.36006633148565353,,not included,not included,97.89301755818701,,3.4136930913511407,,1.5605360601289247,
2015-16,E92000001,England,England,National,50<71,C1 and C2,0.34470608061526203,,not included,not included,97.86159551803046,,3.4694028669332395,,1.586487948157954,
2016-17,E92000001,England,England,National,50<71,C1 and C2,0.306226273600595,,not included,not included,98.19004524886877,,3.4274022806800066,,1.5494900222115988,
2017-18,E92000001,England,England,National,50<71,C1 and C2,0.2795526403903937,,not included,not included,98.31946095917559,,3.3056314465938237,,1.5491077876151529,
2018-19,E92000001,England,England,National,50<71,C1 and C2,0.23005939997283933,,not included,not included,98.43992548897857,,3.3739978308685146,,1.5629732047424671,
2019-20,E92000001,England,England,National,50<71,C1 and C2,0.21735052873842908,,not included,not included,99.01326431575542,,3.2374456306840647,,1.530532006478156,
2020-21,E92000001,England,England,National,50<71,C1 and C2,0.22185388788272462,,not included,not included,98.94018759897673,,3.47393323477901,,1.7037042689558095,
2021-22,E92000001,England,England,National,50<71,C1 and C2,0.2414706250984568,,not included,not included,98.59475374732334,,3.3259703957013627,,1.3841952979112955,
2022-23,E92000001,England,England,National,50<71,C1 and C2,0.20400741522604907,,not included,not included,98.95416110369382,,3.1428968461636257,,1.294377674812575,
2012-13,N1,North East and Yorkshire,North East and Yorkshire,Region,50<71,A to F2,0.4602134513817361,,:,:,97.2960372960373,,not included,not included,not included,not included
2012-13,N2,North West,North West,Region,50<71,A to F2,0.6483816679618408,,:,:,97.42840444184687,,not included,not included,not included,not included
2012-13,N3,Midlands,Midlands,Region,50<71,A to F2,0.5950732647133338,,:,:,96.9219494320264,,not included,not included,not included,not included
2012-13,N4,East of England,East of England,Region,50<71,A to F2,0.6258706668551008,,:,:,95.55273189326556,,not included,not included,not included,not included
2012-13,N5,London,London,Region,50<71,A to F2,0.825228411435308,,:,:,97.38919247115967,,not included,not included,not included,not included
2012-13,N6,South East,South East,Region,50<71,A to F2,0.8670461268539487,,:,:,95.61957379636937,,not included,not included,not included,not included
2012-13,N7,South West,South West,Region,50<71,A to F2,0.7114665558786871,,:,:,96.9638242894057,,not included,not included,not included,not included
2013-14,N1,North East and Yorkshire,North East and Yorkshire,Region,50<71,A to F2,0.3226220500029487,,:,:,97.8750531236719,,not included,not included,not included,not included
2013-14,N2,North West,North West,Region,50<71,A to F2,0.6079578966471576,,:,:,97.39795918367346,,not included,not included,not included,not included
2013-14,N3,Midlands,Midlands,Region,50<71,A to F2,0.5649717514124294,,:,:,97.05985299264964,,not included,not included,not included,not included
2013-14,N4,East of England,East of England,Region,50<71,A to F2,0.4080740362894411,,:,:,96.25,,not included,not included,not included,not included
2013-14,N5,London,London,Region,50<71,A to F2,0.7877352840914326,,:,:,97.2800925925926,,not included,not included,not included,not included
2013-14,N6,South East,South East,Region,50<71,A to F2,0.8978284840353806,,:,:,96.13323124042878,,not included,not included,not included,not included
2013-14,N7,South West,South West,Region,50<71,A to F2,0.6375772066148635,,:,:,96.90239625949737,,not included,not included,not included,not included
2014-15,N1,North East and Yorkshire,North East and Yorkshire,Region,50<71,A to F2,0.207473819184866,,:,:,98.94644424934152,,not included,not included,not included,not included
2014-15,N2,North West,North West,Region,50<71,A to F2,0.49342408647372404,,:,:,97.9539641943734,,not included,not included,not included,not included
