CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Rate_benign_biopsy,Rate_benign_biopsy_warning,Non-op_diag_rate_invasive,Non-op_diag_rate_non-invasive,Rate_non_op_diagnosis,Rate_non_op_diagnosis_warning,Rate_small_invasive,Rate_small_invasive_warning,SDR,SDR_warning
2011-12,R7,London,London,Region,50<71,A to F2,0.71724985911163,,:,:,96.303501945525300,,not included,not included,not included,not included
2011-12,R8,South East,South East,Region,50<71,A to F2,0.80659466442650,,:,:,95.614754098360600,,not included,not included,not included,not included
2012-13,R1,North East,North East,Region,50<71,A to F2,0.57683094942464,,:,:,97.903822441430300,,not included,not included,not included,not included
2012-13,R10,South West,South West,Region,50<71,A to F2,0.71146655587869,,:,:,96.963824289405700,,not included,not included,not included,not included
2012-13,R2,North West,North West,Region,50<71,A to F2,0.64838166796184,,:,:,97.428404441846800,,not included,not included,not included,not included
2012-13,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.39066372016816,,:,:,96.926536731634100,,not included,not included,not included,not included
2012-13,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.53370475713179,,:,:,96.692913385826700,,not included,not included,not included,not included
2012-13,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.64581752425852,,:,:,97.121315969842300,,not included,not included,not included,not included
2012-13,R6,East of England,East of England,Region,50<71,A to F2,0.61171110361120,,:,:,95.521390374331500,,not included,not included,not included,not included
2012-13,R7,London,London,Region,50<71,A to F2,0.82522841143531,,:,:,97.389192471159600,,not included,not included,not included,not included
2012-13,R8,South East,South East,Region,50<71,A to F2,0.86915140419176,,:,:,95.635528330781000,,not included,not included,not included,not included
2013-14,R1,North East,North East,Region,50<71,A to F2,0.24018697632311,,:,:,98.222222222222200,,not included,not included,not included,not included
2013-14,R10,South West,South West,Region,50<71,A to F2,0.63757720661486,,:,:,96.902396259497300,,not included,not included,not included,not included
2013-14,R2,North West,North West,Region,50<71,A to F2,0.60795789664716,,:,:,97.397959183673400,,not included,not included,not included,not included
2013-14,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.37219327385648,,:,:,97.660013764624900,,not included,not included,not included,not included
2013-14,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.45240680419834,,:,:,97.471451876019500,,not included,not included,not included,not included
2013-14,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.65643675625716,,:,:,96.750459840588600,,not included,not included,not included,not included
2013-14,R6,East of England,East of England,Region,50<71,A to F2,0.39624280539906,,:,:,96.323046618516000,,not included,not included,not included,not included
2013-14,R7,London,London,Region,50<71,A to F2,0.78773528409143,,:,:,97.280092592592600,,not included,not included,not included,not included
2013-14,R8,South East,South East,Region,50<71,A to F2,0.89094973917364,,:,:,96.095202677575300,,not included,not included,not included,not included
2014-15,R1,North East,North East,Region,50<71,A to F2,0.14803575063378,!,:,:,99.186046511627900,,not included,not included,not included,not included
2014-15,R10,South West,South West,Region,50<71,A to F2,0.70461877607719,,:,:,96.593673965936700,,not included,not included,not included,not included
2014-15,R2,North West,North West,Region,50<71,A to F2,0.49342408647372,,:,:,97.953964194373400,,not included,not included,not included,not included
2014-15,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.24202526743792,,:,:,98.801128349788400,,not included,not included,not included,not included
2014-15,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.39867689106777,,:,:,97.496087636932700,,not included,not included,not included,not included
2014-15,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.48271411256683,,:,:,97.335025380710600,,not included,not included,not included,not included
