CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Total_with_cancer,Invasive_total,Non_or_micro_invasive,Cancer_non_microinvasive,Cancer_microinvasive,Small_invasive,Invasive_not_known,Invasive_lessthan10mm,Invasive_10mmto15mm,Invasive_15mmto20mm,Invasive_20mmto50mm,Invasive_50mmplus,Invasive_unknown,Rate_with_cancer,Rate_non_or_micro_invasive,Rate_small_invasive,Percent_small_invasive
2011-12,E92000001,England,England,National,45-49,A to F2,842.0,592.0,250.0,241.0,9.0,261.0,0.0,119.0,142.0,106.0,193.0,15.0,17.0,6.739612432263693,2.001072574900147,2.089119768195753,44.08783783783784
2011-12,E92000001,England,England,National,45-49,B,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.462686567164179,0.0,7.462686567164179,100.0
2011-12,E92000001,England,England,National,45-49,C1,8.0,5.0,3.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,5.718370264474625,2.144388849177984,2.144388849177984,60.0
2011-12,E92000001,England,England,National,45-49,C2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.904761904761903,11.904761904761903,0.0,z
2011-12,E92000001,England,England,National,45-49,D,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25806451612903,32.25806451612903,0.0,z
2011-12,E92000001,England,England,National,45-49,E,14.0,9.0,5.0,5.0,0.0,4.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,9.60878517501716,3.431708991077557,2.7453671928620453,44.44444444444444
2011-12,E92000001,England,England,National,45-49,F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,z
2011-12,E92000001,England,England,National,45-49,F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,z
2011-12,E92000001,England,England,National,45-74,A,2597.0,1874.0,722.0,700.0,22.0,851.0,1.0,409.0,442.0,374.0,537.0,59.0,53.0,7.341384262243179,2.0410009385212073,2.405667311193279,45.41088580576307
2011-12,E92000001,England,England,National,45-74,A to F2,15261.0,12068.0,3178.0,3054.0,124.0,6214.0,15.0,3048.0,3166.0,2300.0,2927.0,271.0,356.0,7.985131675402121,1.6628496471022831,3.2513995302371264,51.49154789526019
2011-12,E92000001,England,England,National,45-74,B,516.0,408.0,107.0,101.0,6.0,169.0,1.0,79.0,90.0,84.0,121.0,14.0,20.0,11.65022239281118,2.415840689982163,3.8156736131493982,41.42156862745098
2011-12,E92000001,England,England,National,45-74,C1,10295.0,8280.0,2005.0,1924.0,81.0,4444.0,10.0,2196.0,2248.0,1561.0,1887.0,153.0,235.0,7.593946971457234,1.4789571323721955,3.278047629058373,53.67149758454106
2011-12,E92000001,England,England,National,45-74,C2,1011.0,815.0,193.0,185.0,8.0,400.0,3.0,185.0,215.0,157.0,209.0,18.0,31.0,11.463364854752024,2.188357484636143,4.535455926707032,49.079754601226995
2011-12,E92000001,England,England,National,45-74,D,31.0,22.0,9.0,8.0,1.0,13.0,0.0,8.0,5.0,4.0,4.0,0.0,1.0,28.999064546304957,8.41908325537886,12.160898035547241,59.09090909090909
2011-12,E92000001,England,England,National,45-74,E,184.0,142.0,42.0,41.0,1.0,58.0,0.0,27.0,31.0,26.0,46.0,8.0,4.0,11.473467606160753,2.6189436927106065,3.6166365280289328,40.845070422535215
2011-12,E92000001,England,England,National,45-74,F1,512.0,423.0,89.0,84.0,5.0,231.0,0.0,123.0,108.0,75.0,95.0,14.0,8.0,11.366411366411366,1.9758019758019758,5.128205128205129,54.60992907801418
2011-12,E92000001,England,England,National,45-74,F2,115.0,104.0,11.0,11.0,0.0,48.0,0.0,21.0,27.0,19.0,28.0,5.0,4.0,16.178953292065277,1.5475520540236354,6.752954417557682,46.15384615384615
2011-12,E92000001,England,England,National,50-52,A,1693.0,1237.0,455.0,444.0,11.0,573.0,1.0,283.0,290.0,254.0,338.0,41.0,31.0,7.61508082870791,2.0465810850927935,2.5773427730948804,46.32174616006468
2011-12,E92000001,England,England,National,50-52,A to F2,2072.0,1526.0,545.0,530.0,15.0,701.0,1.0,356.0,345.0,304.0,428.0,52.0,41.0,7.236279183473902,1.90336493966857,2.4481813260691148,45.937090432503275
2011-12,E92000001,England,England,National,50-52,B,65.0,49.0,16.0,15.0,1.0,23.0,0.0,12.0,11.0,7.0,15.0,2.0,2.0,9.872417982989065,2.430133657351154,3.4933171324422845,46.93877551020408
2011-12,E92000001,England,England,National,50-52,C1,237.0,181.0,56.0,54.0,2.0,81.0,0.0,46.0,35.0,32.0,57.0,5.0,6.0,4.862835217596487,1.149024355212672,1.6619816566469008,44.751381215469614
2011-12,E92000001,England,England,National,50-52,C2,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0425963488843815,1.0141987829614605,0.0,0.0
2011-12,E92000001,England,England,National,50-52,D,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.172839506172839,0.0,6.172839506172839,100.0
2011-12,E92000001,England,England,National,50-52,E,71.0,54.0,17.0,16.0,1.0,21.0,0.0,14.0,7.0,11.0,16.0,4.0,2.0,10.016930022573364,2.3984198645598194,2.9627539503386005,38.88888888888889
2011-12,E92000001,England,England,National,50-52,F1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4965034965034967,0.0,3.4965034965034967,100.0
2011-12,E92000001,England,England,National,50-52,F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,z
2011-12,E92000001,England,England,National,50<71,A,1780.0,1298.0,481.0,468.0,13.0,599.0,1.0,293.0,306.0,269.0,348.0,45.0,37.0,7.671983897454022,2.0731596936378565,2.5817518845926735,46.14791987673343
2011-12,E92000001,England,England,National,50<71,A to F2,13619.0,10803.0,2801.0,2690.0,111.0,5587.0,15.0,2735.0,2852.0,2072.0,2584.0,241.0,319.0,7.905718831794933,1.6259577390305902,3.2432080999514126,51.717115616032586
2011-12,E92000001,England,England,National,50<71,B,510.0,404.0,105.0,99.0,6.0,166.0,1.0,78.0,88.0,83.0,121.0,14.0,20.0,11.627906976744185,2.3939808481532148,3.7847697218422254,41.089108910891085
2011-12,E92000001,England,England,National,50<71,C1,9964.0,8005.0,1949.0,1870.0,79.0,4295.0,10.0,2123.0,2172.0,1515.0,1822.0,149.0,224.0,7.521453201524219,1.4712276485117126,3.242135839075323,53.65396627108058
2011-12,E92000001,England,England,National,50<71,C2,943.0,758.0,182.0,174.0,8.0,377.0,3.0,173.0,204.0,145.0,193.0,17.0,26.0,11.196200653012763,2.1608785989907986,4.476105669338082,49.736147757255935
2011-12,E92000001,England,England,National,50<71,D,25.0,19.0,6.0,5.0,1.0,11.0,0.0,6.0,5.0,3.0,4.0,0.0,1.0,25.278058645096056,6.066734074823054,11.122345803842265,57.89473684210527
2011-12,E92000001,England,England,National,50<71,E,153.0,117.0,36.0,35.0,1.0,48.0,0.0,22.0,26.0,19.0,40.0,6.0,4.0,10.906757912745938,2.5662959794696323,3.4217279726261762,41.02564102564102
2011-12,E92000001,England,England,National,50<71,F1,195.0,157.0,38.0,35.0,3.0,73.0,0.0,32.0,41.0,29.0,42.0,9.0,4.0,10.188620095093787,1.9854746851977636,3.814201368932546,46.496815286624205
2011-12,E92000001,England,England,National,50<71,F2,49.0,45.0,4.0,4.0,0.0,18.0,0.0,8.0,10.0,9.0,14.0,1.0,3.0,13.31883664039141,1.0872519706441968,4.892633867898886,40.0
2011-12,E92000001,England,England,National,53-54,A,24.0,15.0,9.0,9.0,0.0,8.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,8.81704628949302,3.3063923585598824,2.9390154298310063,53.333333333333336
2011-12,E92000001,England,England,National,53-54,A to F2,1034.0,794.0,239.0,235.0,4.0,390.0,1.0,200.0,190.0,163.0,194.0,20.0,27.0,5.609565557050476,1.2966017099952258,2.115793585347858,49.1183879093199
2011-12,E92000001,England,England,National,53-54,B,160.0,129.0,30.0,30.0,0.0,54.0,1.0,27.0,27.0,32.0,34.0,4.0,5.0,9.510788801046187,1.78327290019616,3.209891220353088,41.86046511627907
2011-12,E92000001,England,England,National,53-54,C1,796.0,607.0,189.0,185.0,4.0,308.0,0.0,162.0,146.0,119.0,149.0,12.0,19.0,5.04480752411494,1.1978249020825675,1.952010951541962,50.74135090609555
2011-12,E92000001,England,England,National,53-54,C2,12.0,9.0,3.0,3.0,0.0,6.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,5.163511187607574,1.2908777969018934,2.581755593803787,66.66666666666666
2011-12,E92000001,England,England,National,53-54,D,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,21.58273381294964,7.194244604316547,7.194244604316547,50.0
2011-12,E92000001,England,England,National,53-54,E,18.0,16.0,2.0,2.0,0.0,7.0,0.0,3.0,4.0,2.0,4.0,1.0,2.0,8.075370121130552,0.8972633467922835,3.1404217137729926,43.75
2011-12,E92000001,England,England,National,53-54,F1,21.0,16.0,5.0,5.0,0.0,6.0,0.0,2.0,4.0,4.0,5.0,1.0,0.0,9.186351706036746,2.1872265966754156,2.6246719160104988,37.5
2011-12,E92000001,England,England,National,53-54,F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,z
2011-12,E92000001,England,England,National,55-59,A,32.0,24.0,8.0,8.0,0.0,9.0,0.0,3.0,6.0,6.0,6.0,1.0,2.0,9.744214372716199,2.4360535931790497,2.7405602923264314,37.5
2011-12,E92000001,England,England,National,55-59,A to F2,2612.0,2058.0,551.0,524.0,27.0,1055.0,3.0,514.0,541.0,419.0,492.0,40.0,52.0,6.261236426396913,1.3208044682024116,2.5289450343984465,51.263362487852284
2011-12,E92000001,England,England,National,55-59,B,143.0,115.0,28.0,25.0,3.0,54.0,0.0,25.0,29.0,20.0,34.0,3.0,4.0,11.01101101101101,2.1560021560021556,4.158004158004158,46.95652173913044
2011-12,E92000001,England,England,National,55-59,C1,2146.0,1694.0,450.0,427.0,23.0,879.0,2.0,436.0,443.0,342.0,400.0,32.0,41.0,5.869209078949888,1.230728837617637,2.404023662813118,51.88902007083826
2011-12,E92000001,England,England,National,55-59,C2,202.0,152.0,49.0,48.0,1.0,83.0,1.0,42.0,41.0,36.0,26.0,2.0,5.0,7.807970314251478,1.8940126009817944,3.208225426152835,54.60526315789473
2011-12,E92000001,England,England,National,55-59,D,5.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30.67484662576687,12.269938650306749,12.269938650306749,66.66666666666666
2011-12,E92000001,England,England,National,55-59,E,30.0,25.0,5.0,5.0,0.0,10.0,0.0,2.0,8.0,4.0,11.0,0.0,0.0,12.58917331095258,2.0981955518254303,4.1963911036508605,40.0
2011-12,E92000001,England,England,National,55-59,F1,45.0,38.0,7.0,7.0,0.0,14.0,0.0,4.0,10.0,9.0,13.0,2.0,0.0,7.759958613554061,1.2071046732195205,2.414209346439041,36.84210526315789
2011-12,E92000001,England,England,National,55-59,F2,9.0,7.0,2.0,2.0,0.0,4.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,8.604206500956023,1.9120458891013383,3.8240917782026767,57.14285714285714
2011-12,E92000001,England,England,National,60-64,A,17.0,12.0,5.0,4.0,1.0,4.0,0.0,3.0,1.0,3.0,3.0,0.0,2.0,7.5994635672776045,2.235136343316942,1.788109074653554,33.33333333333333
2011-12,E92000001,England,England,National,60-64,A to F2,3722.0,3010.0,706.0,668.0,38.0,1589.0,6.0,766.0,823.0,557.0,710.0,64.0,90.0,8.583176328697373,1.6280823449920327,3.6643383090543056,52.79069767441861
2011-12,E92000001,England,England,National,60-64,B,93.0,73.0,20.0,19.0,1.0,23.0,0.0,11.0,12.0,16.0,28.0,3.0,3.0,18.84498480243161,4.052684903748734,4.660587639311043,31.506849315068493
2011-12,E92000001,England,England,National,60-64,C1,3189.0,2580.0,605.0,576.0,29.0,1405.0,4.0,679.0,726.0,475.0,578.0,52.0,70.0,8.190195393560847,1.553800004109223,3.6084115797908405,54.45736434108527
2011-12,E92000001,England,England,National,60-64,C2,320.0,265.0,53.0,48.0,5.0,126.0,2.0,55.0,71.0,50.0,74.0,5.0,10.0,11.004126547455297,1.8225584594222835,4.332874828060523,47.54716981132076
2011-12,E92000001,England,England,National,60-64,D,9.0,7.0,2.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,46.391752577319586,10.309278350515465,20.61855670103093,57.14285714285714
2011-12,E92000001,England,England,National,60-64,E,24.0,16.0,8.0,8.0,0.0,5.0,0.0,3.0,2.0,2.0,8.0,1.0,0.0,16.666666666666668,5.555555555555555,3.472222222222222,31.25
2011-12,E92000001,England,England,National,60-64,F1,51.0,40.0,11.0,10.0,1.0,19.0,0.0,11.0,8.0,9.0,9.0,2.0,1.0,10.115033716779056,2.18167393891313,3.7683458944863153,47.5
2011-12,E92000001,England,England,National,60-64,F2,19.0,17.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,8.0,1.0,3.0,14.147431124348472,1.4892032762472078,2.2338049143708116,17.647058823529413
2011-12,E92000001,England,England,National,65-70,A,14.0,10.0,4.0,3.0,1.0,5.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,9.668508287292818,2.7624309392265194,3.453038674033149,50.0
2011-12,E92000001,England,England,National,65-70,A to F2,4179.0,3415.0,760.0,733.0,27.0,1852.0,4.0,899.0,953.0,629.0,760.0,65.0,109.0,10.416121434179535,1.8942934410089605,4.616094016774467,54.23133235724744
2011-12,E92000001,England,England,National,65-70,B,49.0,38.0,11.0,10.0,1.0,12.0,0.0,3.0,9.0,8.0,10.0,2.0,6.0,19.35993678387989,4.34610825760569,4.741209008297116,31.57894736842105
2011-12,E92000001,England,England,National,65-70,C1,3596.0,2943.0,649.0,628.0,21.0,1622.0,4.0,800.0,822.0,547.0,638.0,48.0,88.0,9.900444914320955,1.7868155587859564,4.465662305625303,55.11382942575603
2011-12,E92000001,England,England,National,65-70,C2,406.0,330.0,76.0,74.0,2.0,162.0,0.0,74.0,88.0,58.0,89.0,10.0,11.0,15.6370358958558,2.9271298721306427,6.239408411646895,49.09090909090909
2011-12,E92000001,England,England,National,65-70,D,6.0,5.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,35.50295857988166,5.9171597633136095,11.834319526627219,40.0
2011-12,E92000001,England,England,National,65-70,E,10.0,6.0,4.0,4.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,11.26126126126126,4.504504504504505,5.63063063063063,83.33333333333334
2011-12,E92000001,England,England,National,65-70,F1,77.0,62.0,15.0,13.0,2.0,33.0,0.0,15.0,18.0,7.0,15.0,4.0,3.0,13.447432762836184,2.619629758994062,5.7631854697869365,53.2258064516129
2011-12,E92000001,England,England,National,65-70,F2,21.0,21.0,0.0,0.0,0.0,11.0,0.0,5.0,6.0,5.0,5.0,0.0,0.0,16.6270783847981,0.0,8.709422011084719,52.38095238095239
2011-12,E92000001,England,England,National,Over 70,A,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,16.666666666666668,0.0,z
2011-12,E92000001,England,England,National,Over 70,A to F2,1288.0,1089.0,198.0,189.0,9.0,555.0,1.0,282.0,273.0,198.0,255.0,24.0,57.0,13.850504876711149,2.1291925198670865,5.968191154172894,50.964187327823694
2011-12,E92000001,England,England,National,Over 70,B,4.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.539877300613497,12.269938650306749,6.134969325153374,50.0
2011-12,E92000001,England,England,National,Over 70,C1,323.0,270.0,53.0,51.0,2.0,146.0,0.0,72.0,74.0,46.0,64.0,4.0,10.0,10.931735878430976,1.7937523268013673,4.941279994584899,54.074074074074076
2011-12,E92000001,England,England,National,Over 70,C2,67.0,57.0,10.0,10.0,0.0,23.0,0.0,12.0,11.0,12.0,16.0,1.0,5.0,17.22807919773721,2.5713551041398817,5.914116739521728,40.35087719298245
2011-12,E92000001,England,England,National,Over 70,D,8.0,6.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,102.56410256410255,25.64102564102564,38.46153846153847,50.0
2011-12,E92000001,England,England,National,Over 70,E,39.0,36.0,3.0,3.0,0.0,12.0,0.0,5.0,7.0,10.0,10.0,2.0,2.0,27.158774373259053,2.0891364902506964,8.356545961002785,33.33333333333333
2011-12,E92000001,England,England,National,Over 70,F1,606.0,513.0,93.0,87.0,6.0,294.0,0.0,155.0,139.0,85.0,104.0,7.0,23.0,12.56453318405175,1.9282204391366549,6.095664614044909,57.30994152046783
2011-12,E92000001,England,England,National,Over 70,F2,240.0,205.0,34.0,33.0,1.0,76.0,1.0,34.0,42.0,43.0,60.0,10.0,16.0,25.02867869433726,3.5457294816977787,7.925748253206799,37.073170731707314
2012-13,E92000001,England,England,National,45 and over,A,2796.0,1937.0,857.0,829.0,28.0,862.0,2.0,430.0,432.0,378.0,576.0,47.0,74.0,7.537282049623136,2.3102470373844874,2.3237257248838135,44.5018069179143
2012-13,E92000001,England,England,National,45 and over,A to F2,16432.0,12873.0,3530.0,3395.0,135.0,6565.0,29.0,3194.0,3371.0,2420.0,3173.0,278.0,437.0,8.337075174217576,1.7910099418809664,3.330872597294205,50.99821331468966
2012-13,E92000001,England,England,National,45 and over,B,504.0,398.0,106.0,104.0,2.0,150.0,0.0,77.0,73.0,86.0,122.0,13.0,27.0,10.77752117013087,2.2667008810195877,3.2075955863484733,37.68844221105528
2012-13,E92000001,England,England,National,45 and over,C1,10710.0,8549.0,2138.0,2044.0,94.0,4598.0,23.0,2252.0,2346.0,1597.0,1950.0,164.0,240.0,7.8221144541135486,1.5615014661899875,3.3581776153141076,53.78406831208329
2012-13,E92000001,England,England,National,45 and over,C2,1078.0,889.0,188.0,181.0,7.0,443.0,1.0,204.0,239.0,160.0,223.0,25.0,38.0,11.815252416756177,2.060544948376773,4.855433043249523,49.831271091113614
2012-13,E92000001,England,England,National,45 and over,D,26.0,12.0,14.0,14.0,0.0,10.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,24.074074074074073,12.962962962962962,9.25925925925926,83.33333333333334
2012-13,E92000001,England,England,National,45 and over,E,213.0,162.0,49.0,48.0,1.0,61.0,2.0,27.0,34.0,17.0,63.0,8.0,13.0,13.138415988156922,3.0224525043177897,3.762644954354799,37.65432098765432
2012-13,E92000001,England,England,National,45 and over,F1,809.0,679.0,130.0,128.0,2.0,338.0,0.0,146.0,192.0,142.0,158.0,14.0,27.0,12.971811563993201,2.084469101754161,5.419619664560819,49.779086892488955
2012-13,E92000001,England,England,National,45 and over,F2,296.0,247.0,48.0,47.0,1.0,103.0,1.0,51.0,52.0,40.0,79.0,7.0,18.0,22.51978088861838,3.6518563603164944,7.836275106512478,41.70040485829959
2012-13,E92000001,England,England,National,45-49,A,1052.0,700.0,351.0,343.0,8.0,297.0,1.0,145.0,152.0,142.0,219.0,18.0,24.0,6.814001088167474,2.2734927585045472,1.92372464181154,42.42857142857142
2012-13,E92000001,England,England,National,45-49,A to F2,1103.0,741.0,361.0,352.0,9.0,317.0,1.0,154.0,163.0,149.0,230.0,20.0,25.0,6.860092670336163,2.2452343191218085,1.9715769505861866,42.7800269905533
2012-13,E92000001,England,England,National,45-49,B,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0
2012-13,E92000001,England,England,National,45-49,C1,19.0,16.0,3.0,2.0,1.0,9.0,0.0,4.0,5.0,3.0,2.0,2.0,0.0,5.909797822706065,0.9331259720062208,2.7993779160186625,56.25
2012-13,E92000001,England,England,National,45-49,C2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46448087431694,5.46448087431694,0.0,z
2012-13,E92000001,England,England,National,45-49,D,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.543859649122805,17.543859649122805,0.0,z
2012-13,E92000001,England,England,National,45-49,E,25.0,20.0,5.0,5.0,0.0,11.0,0.0,5.0,6.0,2.0,6.0,0.0,1.0,11.462631820265932,2.2925263640531863,5.0435580009170105,55.00000000000001
2012-13,E92000001,England,England,National,45-49,F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,z
2012-13,E92000001,England,England,National,45-49,F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,z
2012-13,E92000001,England,England,National,45-74,A,2796.0,1937.0,857.0,829.0,28.0,862.0,2.0,430.0,432.0,378.0,576.0,47.0,74.0,7.537302368211778,2.3102532652208487,2.3237319890552763,44.5018069179143
2012-13,E92000001,England,England,National,45-74,A to F2,15912.0,12427.0,3457.0,3324.0,133.0,6363.0,28.0,3097.0,3266.0,2339.0,3049.0,270.0,406.0,8.195450577240525,1.7805224136199407,3.277253143726839,51.203025669912286
2012-13,E92000001,England,England,National,45-74,B,504.0,398.0,106.0,104.0,2.0,150.0,0.0,77.0,73.0,86.0,122.0,13.0,27.0,10.777751641254838,2.266749353121057,3.207664178944892,37.68844221105528
2012-13,E92000001,England,England,National,45-74,C1,10710.0,8549.0,2138.0,2044.0,94.0,4598.0,23.0,2252.0,2346.0,1597.0,1950.0,164.0,240.0,7.822120167047181,1.5615026066430322,3.3581800679816007,53.78406831208329
2012-13,E92000001,England,England,National,45-74,C2,1078.0,889.0,188.0,181.0,7.0,443.0,1.0,204.0,239.0,160.0,223.0,25.0,38.0,11.815511420930335,2.0605901179359027,4.855539480029813,49.831271091113614
2012-13,E92000001,England,England,National,45-74,D,25.0,12.0,13.0,13.0,0.0,10.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,23.76425855513308,12.357414448669202,9.505703422053232,83.33333333333334
2012-13,E92000001,England,England,National,45-74,E,188.0,139.0,48.0,47.0,1.0,54.0,1.0,25.0,29.0,14.0,56.0,7.0,8.0,12.206999545484061,3.1166807350172063,3.5062658268943574,38.84892086330935
2012-13,E92000001,England,England,National,45-74,F1,495.0,408.0,87.0,87.0,0.0,203.0,0.0,84.0,119.0,91.0,90.0,11.0,13.0,12.264010703136615,2.1554927902482532,5.029483177245924,49.754901960784316
2012-13,E92000001,England,England,National,45-74,F2,116.0,95.0,20.0,19.0,1.0,43.0,1.0,18.0,25.0,13.0,30.0,3.0,6.0,17.570433202059984,3.029385034837928,6.513177824901545,45.26315789473684
2012-13,E92000001,England,England,National,50-52,A,1644.0,1166.0,477.0,460.0,17.0,536.0,1.0,272.0,264.0,224.0,337.0,26.0,43.0,7.926520575685254,2.299848123237145,2.5843157108073576,45.96912521440824
2012-13,E92000001,England,England,National,50-52,A to F2,2103.0,1499.0,602.0,581.0,21.0,681.0,2.0,349.0,332.0,292.0,431.0,40.0,55.0,7.469472128888352,2.138194113928097,2.418787693662847,45.43028685790527
2012-13,E92000001,England,England,National,50-52,B,71.0,58.0,13.0,12.0,1.0,23.0,0.0,11.0,12.0,9.0,18.0,4.0,4.0,8.681829298116899,1.5896307165566153,2.8124235754463194,39.6551724137931
2012-13,E92000001,England,England,National,50-52,C1,307.0,219.0,87.0,84.0,3.0,97.0,1.0,57.0,40.0,50.0,61.0,7.0,4.0,5.339873373686774,1.5132540179503233,1.6871912613928894,44.29223744292237
2012-13,E92000001,England,England,National,50-52,C2,8.0,6.0,2.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,6.802721088435374,1.7006802721088434,3.401360544217687,66.66666666666666
2012-13,E92000001,England,England,National,50-52,D,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6101083032490977,3.6101083032490977,0.0,z
2012-13,E92000001,England,England,National,50-52,E,70.0,48.0,22.0,22.0,0.0,21.0,0.0,7.0,14.0,8.0,14.0,2.0,3.0,10.680500457735734,3.3567287152883734,3.20415013732072,43.75
2012-13,E92000001,England,England,National,50-52,F1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.2271714922048997,0.0,0.0,0.0
2012-13,E92000001,England,England,National,50-52,F2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.66666666666667,0.0,0.0,0.0
