CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Total_with_cancer,Invasive_total,Non_or_micro_invasive,Cancer_non_microinvasive,Cancer_microinvasive,Small_invasive,Invasive_not_known,Invasive_lessthan10mm,Invasive_10mmto15mm,Invasive_15mmto20mm,Invasive_20mmto50mm,Invasive_50mmplus,Invasive_unknown,Rate_with_cancer,Rate_non_or_micro_invasive,Rate_small_invasive,Percent_small_invasive
2011-12,E92000001,England,England,National,45 and over,A,2597.0,1874.0,722.0,700.0,22.0,851.0,1.0,409.0,442.0,374.0,537.0,59.0,53.0,7.341384262243179,2.0410009385212073,2.405667311193279,45.41088580576307
2011-12,E92000001,England,England,National,45 and over,A to F2,15749.0,12484.0,3249.0,3120.0,129.0,6403.0,16.0,3136.0,3267.0,2376.0,3032.0,280.0,393.0,8.115518733094817,1.6742218784573661,3.299489900819488,51.28965075296379
2011-12,E92000001,England,England,National,45 and over,B,516.0,408.0,107.0,101.0,6.0,169.0,1.0,79.0,90.0,84.0,121.0,14.0,20.0,11.65022239281118,2.415840689982163,3.8156736131493982,41.42156862745098
2011-12,E92000001,England,England,National,45 and over,C1,10295.0,8280.0,2005.0,1924.0,81.0,4444.0,10.0,2196.0,2248.0,1561.0,1887.0,153.0,235.0,7.593918963774905,1.4789516777434368,3.2780355390981715,53.67149758454106
2011-12,E92000001,England,England,National,45 and over,C2,1011.0,815.0,193.0,185.0,8.0,400.0,3.0,185.0,215.0,157.0,209.0,18.0,31.0,11.462844962470804,2.1882582371482346,4.535250232431574,49.079754601226995
2011-12,E92000001,England,England,National,45 and over,D,34.0,25.0,9.0,8.0,1.0,14.0,0.0,9.0,5.0,4.0,5.0,0.0,2.0,30.965391621129328,8.196721311475411,12.750455373406194,56.00000000000001
2011-12,E92000001,England,England,National,45 and over,E,206.0,162.0,44.0,43.0,1.0,64.0,0.0,29.0,35.0,30.0,53.0,9.0,6.0,12.174221381715029,2.6003191300750546,3.7822823710182614,39.50617283950617
2011-12,E92000001,England,England,National,45 and over,F1,801.0,670.0,131.0,122.0,9.0,367.0,0.0,187.0,180.0,114.0,146.0,16.0,27.0,11.886389268118952,1.9439662847984804,5.446073484893453,54.77611940298508
2011-12,E92000001,England,England,National,45 and over,F2,289.0,250.0,38.0,37.0,1.0,94.0,1.0,42.0,52.0,52.0,74.0,11.0,19.0,21.780088929082822,2.863817921471098,7.084181174165348,37.6
2011-12,E92000001,England,England,National,45-49,A,816.0,576.0,240.0,231.0,9.0,252.0,0.0,116.0,136.0,105.0,189.0,14.0,16.0,6.7063899732895,1.9724676392027942,2.071091021162934,43.75
