CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Initial_referred,Percent_assessment,Referral_cyt_bio,Open_biop_total,Final_STR,Percent_STR
2012-13,E92000001,England,England,National,53-54,B,1317.0,7.791055371509701,608.0,37.0,17.0,0.10056791292001893
2012-13,E92000001,England,England,National,53-54,C1,4858.0,3.0791463576956475,1918.0,133.0,65.0,0.04119895291276597
2012-13,E92000001,England,England,National,53-54,C2,117.0,4.71584038694075,46.0,5.0,1.0,0.04030632809351068
2012-13,E92000001,England,England,National,53-54,D,138.0,99.28057553956835,20.0,3.0,6.0,4.316546762589928
2012-13,E92000001,England,England,National,53-54,E,147.0,7.515337423312883,61.0,4.0,1.0,0.051124744376278126
2012-13,E92000001,England,England,National,53-54,F1,92.0,4.159132007233273,30.0,3.0,1.0,0.045207956600361664
2012-13,E92000001,England,England,National,53-54,F2,6.0,28.57142857142857,2.0,0.0,0.0,0.0
2012-13,E92000001,England,England,National,55-59,A,231.0,7.593688362919132,96.0,3.0,6.0,0.19723865877712032
2012-13,E92000001,England,England,National,55-59,A to F2,12687.0,3.0824139380407347,5541.0,295.0,129.0,0.031341640892823736
2012-13,E92000001,England,England,National,55-59,B,1037.0,7.849519339943986,501.0,21.0,14.0,0.10597229581409433
2012-13,E92000001,England,England,National,55-59,C1,9761.0,2.709356871235462,4272.0,231.0,88.0,0.024426124850806342
2012-13,E92000001,England,England,National,55-59,C2,1046.0,4.010121147063334,458.0,25.0,10.0,0.038337678270203956
2012-13,E92000001,England,England,National,55-59,D,179.0,97.28260869565217,27.0,4.0,8.0,4.3478260869565215
2012-13,E92000001,England,England,National,55-59,E,176.0,8.635917566241414,88.0,6.0,0.0,0.0
2012-13,E92000001,England,England,National,55-59,F1,221.0,3.768115942028986,81.0,3.0,2.0,0.03410059676044331
2012-13,E92000001,England,England,National,55-59,F2,36.0,4.004449388209121,18.0,2.0,1.0,0.11123470522803114
2012-13,E92000001,England,England,National,60-64,A,143.0,7.405489383738996,76.0,6.0,0.0,0.0
2012-13,E92000001,England,England,National,60-64,A to F2,12688.0,3.127626794848093,6083.0,277.0,142.0,0.03500338941270722
2012-13,E92000001,England,England,National,60-64,B,375.0,7.855048177628824,190.0,13.0,6.0,0.12568077084206117
2012-13,E92000001,England,England,National,60-64,C1,10341.0,2.847756163116036,4967.0,209.0,104.0,0.02864003877420634
2012-13,E92000001,England,England,National,60-64,C2,1350.0,4.748505100246219,668.0,40.0,23.0,0.0809004572634541
2012-13,E92000001,England,England,National,60-64,D,147.0,97.35099337748345,25.0,5.0,7.0,4.635761589403973
2012-13,E92000001,England,England,National,60-64,E,93.0,7.008289374529013,41.0,1.0,1.0,0.07535795026375283
2012-13,E92000001,England,England,National,60-64,F1,181.0,3.802521008403361,82.0,3.0,0.0,0.0
2012-13,E92000001,England,England,National,60-64,F2,58.0,4.940374787052811,34.0,0.0,1.0,0.08517887563884156
2012-13,E92000001,England,England,National,65-70,A,94.0,6.836363636363636,46.0,3.0,1.0,0.07272727272727272
2012-13,E92000001,England,England,National,65-70,A to F2,14097.0,3.291107915281461,7142.0,284.0,177.0,0.041322699936498446
2012-13,E92000001,England,England,National,65-70,B,244.0,8.895370032810792,120.0,4.0,4.0,0.14582573824279985
2012-13,E92000001,England,England,National,65-70,C1,11728.0,3.0264869216953283,5991.0,225.0,129.0,0.033289291686451
2012-13,E92000001,England,England,National,65-70,C2,1466.0,5.166519823788547,767.0,41.0,24.0,0.08458149779735682
2012-13,E92000001,England,England,National,65-70,D,198.0,95.65217391304348,34.0,5.0,17.0,8.212560386473431
2012-13,E92000001,England,England,National,65-70,E,57.0,6.195652173913044,29.0,2.0,1.0,0.10869565217391304
2012-13,E92000001,England,England,National,65-70,F1,236.0,3.957739392923025,117.0,2.0,0.0,0.0
2012-13,E92000001,England,England,National,65-70,F2,74.0,5.9629331184528604,38.0,2.0,1.0,0.08058017727639001
2012-13,E92000001,England,England,National,Over 70,A,6.0,6.666666666666667,4.0,0.0,0.0,0.0
2012-13,E92000001,England,England,National,Over 70,A to F2,3909.0,3.9560372832984183,2126.0,83.0,50.0,0.05060165366204168
2012-13,E92000001,England,England,National,Over 70,B,24.0,9.448818897637794,10.0,1.0,0.0,0.0
2012-13,E92000001,England,England,National,Over 70,C1,1294.0,3.250684552968071,678.0,31.0,11.0,0.02763333082121235
2012-13,E92000001,England,England,National,Over 70,C2,211.0,4.679529829230428,126.0,5.0,1.0,0.022177866489243733
2012-13,E92000001,England,England,National,Over 70,D,60.0,92.3076923076923,12.0,0.0,4.0,6.153846153846154
2012-13,E92000001,England,England,National,Over 70,E,105.0,8.495145631067961,55.0,2.0,4.0,0.3236245954692557
2012-13,E92000001,England,England,National,Over 70,F1,1572.0,3.6508047098167626,884.0,32.0,18.0,0.041803107364314085
2012-13,E92000001,England,England,National,Over 70,F2,637.0,6.505974874885098,357.0,12.0,12.0,0.12256153610458584
2013-14,E92000001,England,England,National,45 and over,A,29563.0,7.817487075747359,13465.0,860.0,383.0,0.10127854243518042
2013-14,E92000001,England,England,National,45 and over,A to F2,88676.0,4.264763948518495,41082.0,2009.0,1059.0,0.050931311983863574
2013-14,E92000001,England,England,National,45 and over,B,4243.0,8.255827528505273,2005.0,90.0,57.0,0.11090788808032065
2013-14,E92000001,England,England,National,45 and over,C1,43450.0,3.0311232526568546,20191.0,871.0,435.0,0.030346113116357463
2013-14,E92000001,England,England,National,45 and over,C2,4840.0,4.823840135545921,2374.0,80.0,58.0,0.05780634873174865
2013-14,E92000001,England,England,National,45 and over,D,890.0,97.69484083424807,142.0,14.0,45.0,4.939626783754116
2013-14,E92000001,England,England,National,45 and over,E,1569.0,8.23319515138794,704.0,26.0,32.0,0.1679173007293908
2013-14,E92000001,England,England,National,45 and over,F1,2875.0,3.783492130336369,1496.0,47.0,33.0,0.04342790966994789
2013-14,E92000001,England,England,National,45 and over,F2,1246.0,6.242797735357483,705.0,21.0,16.0,0.08016433689062578
2013-14,E92000001,England,England,National,45-49,A,13344.0,7.739376047605514,5736.0,389.0,170.0,0.09859816607411102
2013-14,E92000001,England,England,National,45-49,A to F2,14190.0,7.6809405498449195,6022.0,405.0,188.0,0.1017629896667262
2013-14,E92000001,England,England,National,45-49,B,121.0,9.00297619047619,52.0,2.0,0.0,0.0
2013-14,E92000001,England,England,National,45-49,C1,322.0,4.407336435806187,112.0,6.0,4.0,0.054749520941691755
2013-14,E92000001,England,England,National,45-49,C2,20.0,7.06713780918728,7.0,0.0,0.0,0.0
2013-14,E92000001,England,England,National,45-49,D,94.0,98.94736842105263,19.0,2.0,7.0,7.368421052631578
2013-14,E92000001,England,England,National,45-49,E,279.0,8.643122676579926,95.0,6.0,7.0,0.21685254027261464
2013-14,E92000001,England,England,National,45-49,F1,10.0,14.925373134328357,1.0,0.0,0.0,0.0
2013-14,E92000001,England,England,National,45-49,F2,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,E92000001,England,England,National,45-74,A,29563.0,7.817487075747359,13465.0,860.0,383.0,0.10127854243518042
2013-14,E92000001,England,England,National,45-74,A to F2,86716.0,4.255452795763195,39957.0,1987.0,1029.0,0.05049657418285355
2013-14,E92000001,England,England,National,45-74,B,4243.0,8.255827528505273,2005.0,90.0,57.0,0.11090788808032065
2013-14,E92000001,England,England,National,45-74,C1,43450.0,3.0311295963121374,20191.0,871.0,435.0,0.030346176625909778
