CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Screened,Invited,Uptake
2012-13,E92000001,England,England,National,Over 70,A to C2,44660.0,67004.0,66.6527371500209
2012-13,E92000001,England,England,National,Over 70,A to D,44725.0,67069.0,66.68505568891739
2012-13,E92000001,England,England,National,Over 70,B,254.0,5207.0,4.878048780487805
2012-13,E92000001,England,England,National,Over 70,C1,39807.0,47678.0,83.49133772389781
2012-13,E92000001,England,England,National,Over 70,C2,4509.0,13789.0,32.69997824352745
2012-13,E92000001,England,England,National,Over 70,D,65.0,65.0,100.0
2013-14,E92000001,England,England,National,45-49,A,172417.0,252112.0,68.38904931141715
2013-14,E92000001,England,England,National,45-49,A and C1,179723.0,261109.0,68.8306416094428
2013-14,E92000001,England,England,National,45-49,A to C2,181350.0,265516.0,68.30096867985357
2013-14,E92000001,England,England,National,45-49,A to D,181445.0,265611.0,68.3123063427343
2013-14,E92000001,England,England,National,45-49,B,1344.0,3983.0,33.74340949033392
2013-14,E92000001,England,England,National,45-49,C1,7306.0,8997.0,81.2048460597977
2013-14,E92000001,England,England,National,45-49,C2,283.0,424.0,66.74528301886792
2013-14,E92000001,England,England,National,45-49,D,95.0,95.0,100.0
2013-14,E92000001,England,England,National,45-74,A,378165.0,565054.0,66.92546199124332
2013-14,E92000001,England,England,National,45-74,A and C1,1811624.0,2218926.0,81.64418281637153
2013-14,E92000001,England,England,National,45-74,A to C2,1963352.0,2739746.0,71.66182558529148
2013-14,E92000001,England,England,National,45-74,A to D,1964234.0,2740631.0,71.67086703755449
2013-14,E92000001,England,England,National,45-74,B,51394.0,281518.0,18.256026257646045
2013-14,E92000001,England,England,National,45-74,C1,1433459.0,1653872.0,86.67291060009481
2013-14,E92000001,England,England,National,45-74,C2,100334.0,239302.0,41.92777327393837
2013-14,E92000001,England,England,National,45-74,D,882.0,885.0,99.66101694915255
2013-14,E92000001,England,England,National,50-52,A,195394.0,278234.0,70.2264999964059
2013-14,E92000001,England,England,National,50-52,A and C1,274898.0,373226.0,73.65456854559972
2013-14,E92000001,England,England,National,50-52,A to C2,287319.0,407917.0,70.43565235084588
2013-14,E92000001,England,England,National,50-52,A to D,287566.0,408164.0,70.45354318362227
2013-14,E92000001,England,England,National,50-52,B,10891.0,32273.0,33.746475381898186
2013-14,E92000001,England,England,National,50-52,C1,79504.0,94992.0,83.69546909213408
2013-14,E92000001,England,England,National,50-52,C2,1530.0,2418.0,63.27543424317618
2013-14,E92000001,England,England,National,50-52,D,247.0,247.0,100.0
2013-14,E92000001,England,England,National,50<71,A,205669.0,312609.0,65.79113205313986
2013-14,E92000001,England,England,National,50<71,A and C1,1585648.0,1902949.0,83.32582743941114
2013-14,E92000001,England,England,National,50<71,A to C2,1730209.0,2398562.0,72.13526271157468
2013-14,E92000001,England,England,National,50<71,A to D,1730963.0,2399319.0,72.14392917323624
2013-14,E92000001,England,England,National,50<71,B,49806.0,272146.0,18.30120597032475
2013-14,E92000001,England,England,National,50<71,C1,1379979.0,1590340.0,86.7725769332344
2013-14,E92000001,England,England,National,50<71,C2,94755.0,223467.0,42.40223388688263
2013-14,E92000001,England,England,National,50<71,D,754.0,757.0,99.60369881109644
2013-14,E92000001,England,England,National,53-54,A,3348.0,9161.0,36.5462285776662
2013-14,E92000001,England,England,National,53-54,A and C1,164601.0,200201.0,82.2178710396052
2013-14,E92000001,England,England,National,53-54,A to C2,185077.0,263723.0,70.17855856334108
2013-14,E92000001,England,England,National,53-54,A to D,185181.0,263829.0,70.18978201789795
2013-14,E92000001,England,England,National,53-54,B,17432.0,58713.0,29.690187862994566
2013-14,E92000001,England,England,National,53-54,C1,161253.0,191040.0,84.40797738693468
2013-14,E92000001,England,England,National,53-54,C2,3044.0,4809.0,63.297982948637966
2013-14,E92000001,England,England,National,53-54,D,104.0,106.0,98.11320754716981
2013-14,E92000001,England,England,National,55-59,A,3476.0,11625.0,29.901075268817205
2013-14,E92000001,England,England,National,55-59,A and C1,373923.0,441178.0,84.75558618063458
2013-14,E92000001,England,England,National,55-59,A to C2,416029.0,579586.0,71.7803742671493
2013-14,E92000001,England,England,National,55-59,A to D,416156.0,579713.0,71.78655645120948
2013-14,E92000001,England,England,National,55-59,B,13815.0,82318.0,16.782477708399135
2013-14,E92000001,England,England,National,55-59,C1,370447.0,429553.0,86.24011472391066
2013-14,E92000001,England,England,National,55-59,C2,28291.0,56090.0,50.43858085220182
2013-14,E92000001,England,England,National,55-59,D,127.0,127.0,100.0
2013-14,E92000001,England,England,National,60-64,A,2058.0,7894.0,26.070433240435776
2013-14,E92000001,England,England,National,60-64,A and C1,363171.0,419718.0,86.52738267122211
2013-14,E92000001,England,England,National,60-64,A to C2,398105.0,542514.0,73.38151642169602
