CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Total_with_cancer,Invasive_total,Non_or_micro_invasive,Cancer_non_microinvasive,Cancer_microinvasive,Small_invasive,Invasive_not_known,Invasive_lessthan10mm,Invasive_10mmto15mm,Invasive_15mmto20mm,Invasive_20mmto50mm,Invasive_50mmplus,Invasive_unknown,Rate_with_cancer,Rate_non_or_micro_invasive,Rate_small_invasive,Percent_small_invasive
2014-15,E92000001,England,England,National,45 and over,A,2597.0,1843.0,751.0,730.0,21.0,857.0,3.0,422.0,435.0,348.0,501.0,62.0,75.0,7.626011246678119,2.2052885815384164,2.516554346708952,46.500271296798694
2014-15,E92000001,England,England,National,45 and over,A to F2,18015.0,14089.0,3907.0,3778.0,129.0,7301.0,19.0,3559.0,3742.0,2680.0,3285.0,339.0,484.0,8.556349366929886,1.8556567847124659,3.467660656561483,51.82056923841295
2014-15,E92000001,England,England,National,45 and over,B,644.0,497.0,146.0,141.0,5.0,218.0,1.0,102.0,116.0,97.0,134.0,27.0,21.0,10.879664825232712,2.466507864105553,3.6828679066781547,43.86317907444668
2014-15,E92000001,England,England,National,45 and over,C1,11642.0,9214.0,2417.0,2335.0,82.0,4953.0,11.0,2424.0,2529.0,1767.0,2030.0,190.0,274.0,7.932771093696235,1.646925591261278,3.374936886022801,53.75515519861081
2014-15,E92000001,England,England,National,45 and over,C2,1413.0,1131.0,280.0,273.0,7.0,575.0,2.0,282.0,293.0,204.0,269.0,38.0,45.0,12.156093532235586,2.408850806104716,4.9467471911078995,50.83996463306808
2014-15,E92000001,England,England,National,45 and over,D,36.0,22.0,14.0,10.0,4.0,12.0,0.0,8.0,4.0,3.0,5.0,1.0,1.0,36.69724770642202,14.271151885830784,12.232415902140673,54.54545454545454
2014-15,E92000001,England,England,National,45 and over,E,225.0,168.0,57.0,56.0,1.0,79.0,0.0,48.0,31.0,27.0,53.0,3.0,6.0,11.07065538279866,2.8045660303089943,3.887030112182641,47.023809523809526
2014-15,E92000001,England,England,National,45 and over,F1,1005.0,818.0,186.0,179.0,7.0,439.0,1.0,204.0,235.0,156.0,179.0,9.0,35.0,12.594774108653425,2.3309731186164546,5.501597844476471,53.66748166259169
2014-15,E92000001,England,England,National,45 and over,F2,453.0,396.0,56.0,54.0,2.0,168.0,1.0,69.0,99.0,78.0,114.0,9.0,27.0,21.784082712190433,2.692955037268574,8.078865111805722,42.42424242424242
2014-15,E92000001,England,England,National,45-49,A,1050.0,717.0,332.0,324.0,8.0,329.0,1.0,147.0,182.0,133.0,198.0,30.0,27.0,6.602527824938691,2.0876564170282337,2.068792051814123,45.885634588563455
2014-15,E92000001,England,England,National,45-49,A to F2,1156.0,794.0,361.0,352.0,9.0,367.0,1.0,164.0,203.0,149.0,216.0,34.0,28.0,6.53890535556712,2.0419938004841955,2.075932755616897,46.221662468513856
2014-15,E92000001,England,England,National,45-49,B,13.0,10.0,3.0,3.0,0.0,5.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,6.595636732623033,1.5220700152207,2.536783358701167,50.0
2014-15,E92000001,England,England,National,45-49,C1,59.0,43.0,16.0,16.0,0.0,21.0,0.0,9.0,12.0,11.0,8.0,2.0,1.0,5.115754790600884,1.3873233330443075,1.8208618746206537,48.837209302325576
2014-15,E92000001,England,England,National,45-49,C2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.050505050505051,0.0,0.0,0.0
2014-15,E92000001,England,England,National,45-49,D,5.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,49.01960784313725,19.607843137254903,19.607843137254903,66.66666666666666
2014-15,E92000001,England,England,National,45-49,E,27.0,19.0,8.0,8.0,0.0,10.0,0.0,5.0,5.0,1.0,8.0,0.0,0.0,7.627118644067797,2.2598870056497176,2.824858757062147,52.63157894736842
2014-15,E92000001,England,England,National,45-49,F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,z
2014-15,E92000001,England,England,National,45-49,F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,z
2014-15,E92000001,England,England,National,45-74,A,2597.0,1843.0,751.0,730.0,21.0,857.0,3.0,422.0,435.0,348.0,501.0,62.0,75.0,7.626011246678119,2.2052885815384164,2.516554346708952,46.500271296798694
2014-15,E92000001,England,England,National,45-74,A to F2,17221.0,13413.0,3791.0,3668.0,123.0,6978.0,17.0,3415.0,3563.0,2554.0,3119.0,327.0,435.0,8.352163409657587,1.8386302471408111,3.384321251529565,52.024155669872506
2014-15,E92000001,England,England,National,45-74,B,644.0,497.0,146.0,141.0,5.0,218.0,1.0,102.0,116.0,97.0,134.0,27.0,21.0,10.879664825232712,2.466507864105553,3.6828679066781547,43.86317907444668
2014-15,E92000001,England,England,National,45-74,C1,11642.0,9214.0,2417.0,2335.0,82.0,4953.0,11.0,2424.0,2529.0,1767.0,2030.0,190.0,274.0,7.932781904371888,1.6469278356697177,3.3749414853422057,53.75515519861081
2014-15,E92000001,England,England,National,45-74,C2,1413.0,1131.0,280.0,273.0,7.0,575.0,2.0,282.0,293.0,204.0,269.0,38.0,45.0,12.15630269451805,2.408892253690767,4.946832306686397,50.83996463306808
2014-15,E92000001,England,England,National,45-74,D,32.0,19.0,13.0,9.0,4.0,10.0,0.0,6.0,4.0,3.0,4.0,1.0,1.0,33.898305084745765,13.771186440677965,10.59322033898305,52.63157894736842
2014-15,E92000001,England,England,National,45-74,E,194.0,141.0,53.0,52.0,1.0,66.0,0.0,38.0,28.0,24.0,46.0,2.0,3.0,10.155472962361932,2.77443333507826,3.4549547191540597,46.808510638297875
